annee,film,pays,genre,budget_million_usd,type_production,victime,role,categorie_victime,type_accident,deces,cause,pays_tournage,studio,gravite,tranche_budget,decennie,genre_simplifie,ratio_budget_risque,box_office_million_usd,note_imdb,nb_votes_imdb,popularite,roi
2021,Rust,USA,Western,7,Film,Halyna Hutchins,Directrice de la photographie,Technicien,Arme à feu,True,Tir accidentel arme à feu sur plateau,USA,Rust Movie Productions,Décès,Très petit (<20M),2020s,Action/Aventure,7,,,,Faible,
2014,Midnight Rider,USA,Biopic,5,Film,Sarah Jones,Camera assistant,Technicien,Train,True,Heurtée par un train lors du tournage sur des voies ferrées,USA,Unclaimed Freight Productions,Décès,Très petit (<20M),2010s,Drame,5,,,,Faible,
2017,Deadpool 2,USA,Action/Super-héros,110,Film,Joi Harris,Cascadeuse,Technicien,Moto,True,"Accident de moto lors dune cascade, perte de contrôle",Canada,20th Century Fox,Décès,Grand (100-200M),2010s,Action/Aventure,110,785.0,7.7,483000.0,Très élevée,7.14
2011,Expendables 2,USA,Action,100,Film,Kun Liu,Cascadeur,Technicien,Explosion,True,Explosion incontrôlée lors dune scène de cascade,Bulgarie,Lionsgate,Décès,Moyen (50-100M),2010s,Action/Aventure,100,305.0,6.6,223000.0,Élevée,3.05
2008,The Dark Knight,USA,Action/Super-héros,185,Film,Conway Wickliffe,Cascadeur,Technicien,Véhicule,True,Accident de voiture lors dune répétition de cascade,UK,Warner Bros,Décès,Grand (100-200M),2000s,Action/Aventure,185,1005.0,9.0,2800000.0,Très élevée,5.43
2005,XXX: State of the Union,USA,Action,87,Film,Harry O'Connor,Cascadeur,Technicien,Parachute,True,Collision avec un pont lors dun saut en parachute,USA,Columbia Pictures,Décès,Moyen (50-100M),2000s,Action/Aventure,87,71.0,4.6,41000.0,Moyenne,0.82
2013,The Lone Ranger,USA,Western/Action,225,Film,Non identifié,Technicien,Technicien,Chute,True,Chute accidentelle sur le plateau,USA,Disney,Décès,Blockbuster (>200M),2010s,Action/Aventure,225,260.0,6.5,148000.0,Élevée,1.16
2019,Jumanji: The Next Level,USA,Aventure,125,Film,Non identifié,Technicien,Technicien,Chute,False,Blessure grave sur le plateau,USA,Sony Pictures,Blessure,Grand (100-200M),2010s,Action/Aventure,125,800.0,6.7,183000.0,Très élevée,6.4
2016,Resident Evil: The Final Chapter,USA,Horreur/Action,40,Film,Olivia Jackson,Cascadeuse (doublure de Milla Jovovich),Technicien,Moto,False,"Accident grave de moto, amputation du bras",Afrique du Sud,Screen Gems,Blessure,Petit (20-50M),2010s,Action/Aventure,40,312.0,5.5,91000.0,Élevée,7.8
2015,Mission: Impossible - Rogue Nation,USA,Action,150,Film,Tom Cruise (acteur principal),Acteur,Acteur,Cascade,False,Blessure à la cheville lors dune cascade,UK,Paramount Pictures,Blessure,Grand (100-200M),2010s,Action/Aventure,150,682.0,7.4,316000.0,Très élevée,4.55
2017,Mission: Impossible - Fallout,USA,Action,178,Film,Tom Cruise (acteur principal),Acteur,Acteur,Cascade,False,Fracture de la cheville lors dun saut entre deux bâtiments,UK,Paramount Pictures,Blessure,Grand (100-200M),2010s,Action/Aventure,178,791.0,7.7,380000.0,Très élevée,4.44
2018,Avengers: Infinity War,USA,Action/Super-héros,316,Film,Jeremy Renner,Acteur,Acteur,Cascade,False,Blessure lors dune scène daction,USA,Marvel Studios,Blessure,Blockbuster (>200M),2010s,Action/Aventure,316,2048.0,8.4,1000000.0,Très élevée,6.48
